この際 委員の異動について御報告 いたします , おはようございます
お答えいたします , いや いや だから 行政 処分 して 国 外 退 去 になる 可能性 が 高く て なおかつ 本人 が 国 に 帰 り たくない 場合には 最大 六十 日 間の 入国 者 収容 所 とか に入る わけですよね
 論理 的には あろうかと思います , だから 二 千八百 七十 人は 出して も もう 個 票 を出して も 問題 ないんですよ
 申し訳ございません 現在 手元に 数字 を持って おりません , まず 刑事 訴 追 の おそれ はない んです
ですから 個 票 を 出 せない 理由 は 二つ に 分けて 申し上げますと 一つは これは 刑事 訴 追 の おそれ のある 者 から この 情報を 要するに 任意 で そして 公表 を すること を前提と せず に 聴取 した 内容 であり これを 公開 するということは 今後 そういった 調査 に応じ られ なくなる おそれがある これが 一つ でございます , それでも 委員会 に 出して 今 衆参 の 国会議員 が 全部 手 書き で 個 票 を 書いている んですよ
 これにつきましては 国会の 委員会 理事会 の御 決定 でございます , 委員 の皆さんに お配り している それから パネル の三 枚目 御 覧 ください
 法務省 といたしましては これはもう 具体的に 調査 要するに 違法 が う か が わ れる ものについては 調査を するように というふうな 指示 もございます , この 国交省 の 緊急 事業 でも 状況 によって は 失 踪 者 が出る んです
これ 国交省 が どのような 御判断 で 出した か につきましては ちょっと 私 としても 判断 し かね る 部分 がございます , 全く 説 得 力 ない
 結論 から 申し上げる と この 聴取 票 の 性質 上 出す ことは 適当 ではない のではないかというふうに 法務省 としては 考えております , 二十九年度 を出して 過去に ある や つ を 出 せない 国会に 出 せない 理由 はありません
 後刻理事会で協議 をいたします , じゃ 法 施行 後の 失 踪 者は 何人 程度 いる んですか
失礼いたしました , 四 千二百 七 十九 名 非常に 上 半 期 だけ ですけど 現実 問題 としては 新 法 施行 後で も 全然 減って いません
 四 千二百 七 十九 のうち その後 入 管 当局 において 捕 捉 した 者 について 個 票 を このような 聴取 票 を作成 するという 関係 になります , これ 私が 法務省 から 聞いた ところ による と 千 や 二千 は 今 ある と おっしゃっています
この 新 制度 につきましては これは 個 票 のみ で 判断する のではなくて 今 例えば 三 千七百 か所 について ちょうど 実 地 調査を 入って おった り あるいは 例えば その 悪 質 ブ ロー カー を排除する ために 二国間 合意 これを 十 か 国 締結 する そういった 総合的な ところ から 検証 していく必要がある と考えております , 間違って います あなた の考え方 は
 誠に 申し訳ございません , ここに 国交省 こうやって 出している じゃないですか
 福 山 君 時間が来ております , 全く 法務大臣 の 答弁は 説 得 力 はない と この ま ん までは 採決 どころ か 全く 入 管 法 については 不 明確な ま ん ま 審議 も 全く 進んで いない ということを申し上げて 質問を終わりたいと思います
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 哲 郎 でございます
 米軍 の運用 に当たっては 地域住民 の方々の 安全確保 は 大前提 であり 事件 事故 は あってはならない と考えています , 二日 後に 飛行 を 再開 しています
 残念ながら 沖縄 に 米軍 基地 の 七割 約 七割 が 集中 する という状況 の中において 今まで も 様々な 事故 事件 が 残念ながら 発生 してきた のは 事実 であります , 総理 今 の話 だと 二日 後の 再開 で よかった という 御認識 ですか
もちろん たった 二日 間 であった という 批判 も できる の であろうと思います が かつて 米軍 に 停止 を 申 入れ を したのは 沖縄 国際 大学 に 墜 落 事故 があって 以来 ずっと 事故 があって も 申 入れ す ら 行って こなかった その 反省 の上 に立って 私たちは 申 入れ を行っております , 恐らく 今の は 事実関係 が違う ので 後で 確か めて いただければと思います
先ほど申し上げましたように 米軍 の対応 については 政府としては コメントを 差し控えたいと思います , 違う 違う コメント じゃなくて 要請 をして もらえ る かと 聞いているんです
先ほど申し上げましたように 沖縄県 の 行政 の 抗議 については 米側 は この 抗議 を受け 話を聞いて いる と承知をしております が いずれにせよ 米軍 の対応 については コメントは差し控え たい と このように思います , 済みません さっき 私 申し上げたように 嘉 手 納 町 議会 の 抗議 を受け ない というのは 初めて のこと なんです
まず 史 上 初めて の 首脳会談 を行った ところでございますが この 共同 宣言 をどう 理解を していくかということ が 重要な んだろう と このように 思う わけでございますが この 中で トランプ大統領 は 北朝鮮 に対して 安全 の 保証 を提供する ことに コミット した ということが 書いてあります が 金 正 恩 委員長 は 朝鮮半島 の 完全 な 非核化 に向けた 自身 の 確 固 たる 揺 る ぎ ない コミット メント を 再 確認した と こう あるわけでございます , だから 質問に答えて ください
この 手 応え かどうかということ でございますが 完全 な 非核化 ということについては 当然 これは C V I D ということ であるというふうに アメリカ は 理解を しているわけであります , 総理 今 大分 いい ところまで お答え いただいた んですけど トランプ大統領 と の やり取り の中で 詳細 は 河野 大臣 と ポ ン ペ オ 国 務 長官 の中では 四十七 項目 ある と
私 と トランプ大統領 と の 電話 会談 の中身 について 詳細 については 申し上げる ことができない の でございますが できない の でございますが この 言わば 委員が 言われた ような 四十七 項目 についての 一 々 の説明 はもちろん 大統領 と 私の 間 ではございません , 普通 総理大臣 と 大統領 の話 も 余り 中身 言わない んですけど 河野 大臣が 余りにも ポ ン ペ オ 国 務 長官 と の 内容について 詳しく お話し される ので 確認 をさせていただきました
 ず う っと 私も この問題 に 関わって まいりました がどう 対応 してきた かということは 十分 承知 をしている つもり でございます , そこは 理解を します が ただ 逆に 一定の シ グ ナ ル がある から こそ 総理は すぐに 日 朝 首脳会談 というような話 が 出てきている のではないかと 期待 したいと思います
お答えいたします , 質問に答えて いただきたい
私ども 証人 喚 問 について コメントを する立場 に ございません けれども 私ども 調査 報告 をさせていただきました その 報告書 につきましては パネル の 右 側に 概要 だけ か いつ ま んで 書いてあります けれども そのとおりでございます , ということは 証人 喚 問 と 調査 報告書 は 違う ということ だということを 認めて いただいた もの だと思います
これも 先ほど と同じ ですけれども 右 側の パネル に 書いて おられる のは 報告書 の 概要 でございますけれども 報告書 につきましては 十五 ページ に 書いてある とおりでございます , ということは 報告書 以外の こと の コメント は しない 証人 喚 問 の発言 については コメント しない ということだと思います
 後刻理事会で協議 をさせていただきます , 非常に 重 たい こと だというふうに思います
 電話 が 主体 であった と承知しております , メール は ありませんか
今 手 元 では 分かりません けれども メール もあった かもしれません , あなた 二 週間 徹底 的に やっている の に 何で メール か 電話 か ヒアリング したもの が 分からない んですか
御質問 いただいて おりませんので 手 元 で お答え が できません けれども 電話 で やった の が 主体 であった と思います , だって 報告書 に メール って 書いてある じゃないですか
 後刻理事会で協議 をさせていただきます , 総理の 例 の 辞 める 発言 が 国会で の 辞 める 発言 が 起 点 となって 対応を 協議 を 始めた ことに この 報告書 は なっています
それは この 五十 ページ にわたる 報告書 全 編 を通じて 書いて ございますけれども 総括 のところで 三十 四 ページ から 三十 七 ページ に るる 書いて ございます , その 国会 が 紛 糾 したり することを 泣 き 言 を 考え ながら やった と
 報告書 に 書いてある とおりでございます , ちゃんと 答えて
 報告書 に 書いて ございますけれども 総理 答弁 があって 以降 調査を 始めた わけですけれども 調査 につきましては 答弁 の 後 本省 が 近畿財務局 に 調査 をして それが 昭 恵 夫 人 御本人 からの 照会 も なかった し そしてまた 夫 人 付き からの 照会 は 一度 あった けれども 中身 に 問題 はなかった というところで 一旦 終わって おりまして しか る に 二月 二十一日 ですか 国会議員 団 の 現地 視察 等々 ございまして それ への対応 といった ところ から 誤 った 対応 が 始まった と認識しております , 何で 問題 がない の に 国会議員 団 が 来る と 廃棄 しなきゃいけない の
私ども の報告 の中では それ があった から 廃棄 をした という 結果 には なって おりません , じゃ 何 だから 廃棄 した の
 報告書 の三 十七 ページ に 書いてある 総括 の部分 だけ ですけれども 読ませて いただきます と 元々 の 決裁文書 は 本省 ......( 発言する者あり ) いや 短い ので 済みません , いや いや だから 必要 でない 情報が 多く 含まれている 改ざん 後の 文書 決裁 の 本質 的な 内容 が 変わる ものではない と 決裁 を した後 だから ね 当然
 報告書 十五 ページ に 書いて ございます とおり 先ほども 答弁 いたしましたけれども 総理 夫 人 御本人 からの 照会 は ないこと や 総理 夫 人 付き から 本省 理財局 に 照会 があった 際 の 記録 は 作成 し 共有 している が 内容 は 特段 問題 となる ものではない ことを 確認した となっております , だから じゃ 何で 改ざん した のか が 全く 分からない
御指摘の 文書 でございますが その 作成 経緯 や また 記載 内容 につきまして その趣旨 等 把握 を しておりません , 国交省 この 文書 は 国交省 が 財務省 からの 聞き 取った メモ という認識 でいい んですね
お答え申し上げます , また も や 怪 文書 扱い です
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
 もし 私たち が 野党 であれば しっかりと 真 実 が 何か ということについて それを 見 極めて いく んだろう と このように思います , 今 野党 なら 真 実 を 明らかに していく そう おっしゃいました
 仮定 の質問 には お答え することは できません , 総務省 にお伺いします
お答え申し上げます , 分かりました
お答え申し上げます , 適切に 管理 されて 作成 されている ということは 一般的に 言えば 事実 が 書かれている と 解 して いいですか
お答え申し上げます , だから 事実 が 一般的に 書かれている と 解 して いい かと 聞いている んだから イ エ ス か ノー か で 答えてください
お答え申し上げます , 事実 を含む と 言われました
 自治体 の作成 した 文書 について 言わば 政府の 長 として 総理大臣 として コメントする 立場に はございません , 違う 行 政府の 長 だから コメントする 立場 にある んです
要するに 総務省 としての 見解を まさに 政府として 出 しているわけであります , 総理が じゃ 否定 をされている 面会 の 事実 以外の ものは 適切に 処理 されている 事実 を含む ということでよろしいですね 今の 見解
今 まさに 総務省 として また 政府として お答え できる のは 一般論として お答え する わけでございますので 今 愛媛県 の ということで おっしゃっている わけでございます から それ については お答え できない ということでございます , じゃ 一般論として 復 命 書 は 事実 が 書かれている 適切に 処理 されている ということでよろしいですね
 一般論 については 今 総務省 から お答えしたとおり でございます , 愛 媛 だけ 別 扱い という わけではない と思いますので 適切に 処理 されている と考えます
全く ございません , この コメント は 学校 法人 の 誰 から 誰 の責任 で 発出 された か 全く 不明 です
 二月 の 二十五日 について 会 食 がない ということは もう 明らか だろうと このように思います , この 前後 です
 既に 国会で も 答弁 をさせていただいております が 前 年 の 十二月 と その後 の 四月に 会 食 をしている それは 既に 外 に 出 されていること でございます , その 会 食 とは 到底 日程 的には 思って いない の ですが これを あえて 加計学園 の コメント にも 出 されていない の が 私は 非常に 不思議 に 思います
まず 加 計 理事長 とは 獣医学部 新設 について 話 は した ことはございません , つまり これ 面会 も 首相 動 静 で 否定 をされている だけ 電話 は 否定 を されていない
 柳瀬 元 秘書官 は 既に 参考人 として 誠 意 を持って お答えを した と こう思っております , おかしい でしょう
今委員 の 推測 を基に 私は お答え することは できません , だから 推測 では 答えて いただけない ので 加 計 孝 太郎 氏 さらには この 柳瀬 さん と 愛媛県 今 治 の皆さん を 呼んで しっかり お伺い しないと 証人 喚 問 も含めて やらない と 真 相 は 晴 れない と思います
それは 事実関係 について 私が 間 違った ことを 言わない ように 念 のために メモ を 入れる ことは 秘書官 があります から その 秘書官 に対して そんなに 激 しい 言葉 で 言われた ら 仕事 自体が 萎 縮 します から ということでございます , だって 会 って も いない 会合 を 会 った と言われて それを 秘書官 に 全部 報告 されていた んですよ それ を前提に
そもそも 伝 聞 の 伝 聞 である わけでありまして それは 今治市 長 もそう 言われている わけでございます , 全く 分からない です
 福 山 君 指名 していません , う その 報告を 愛媛県 と 今 治 にして 官邸 や 各 役所 も 動か そう とした わけです
 質疑 者は いいですか 指名 を受けて から ちゃんと 質疑 してください , 失礼 しました
これは 言わば 透 明 な ルール にのっとって これは 民間 委員の 座長 である 八 田 座長 も おっしゃっている とおり プロセス には 一点 の 曇 り も ないという 中において という 中において ですね 申請 が 認められ そして 申請 については まさに 極めて 独立性 を持った 委員会 が この 申請 を受けて 認可 をした と承知をしております , いや 総理 違う んですよ
 設置 認可 の基準 について 偽 り があった ら 駄目 な わけでございます , もう一回 読み ます ね
そもそも これは 先ほど申し上げました 今 治 の 市長 も おっしゃっている ように これ 伝 聞 の 伝 聞 を 書いた ということで あるわけでございます , もう 伝 聞 の 伝 聞 とか 何を 言っている んだ か さ っ ぱ り 分かりません
まず は ですね まずは よく 聞いて いただかなければ これ 真 相 には 近 づけ ない んですから , 全く 私の質問 に 答え られ ませんでした
 参考人 の皆さん方 証人 につきましては それぞれ 個人の 名前 を 申し上げて ください , 安倍 昭 恵 総理大臣 夫 人 谷 総理大臣 付き 迫 田 近畿財務局 長 柳瀬 総理 秘書官 藤 原 地方創生 推進 室 次長 加計学園 理事長 渡 邉 事務 局長 愛媛県 中 村 知事 担当者 今 治 担当者 以上 です
 後刻理事会で協議 をさせていただきます , もう 時間が なくなりました
まだ 指名 しておりません , あっ 済みません
お答え申し上げます , 太田 局長 この 廃棄 した と 重 ね た 答弁 それから 金額 の 提示 は しなかった という答弁 それから 安倍 晋 三 記念 小学校 の話 について 全く 承知しておりません でした 近畿財務局 は という答弁 これ 交渉 記録 を 見れば 全部 虚偽 だった ということは お認め いた だけ ます ね
お答えをいたします , この 廃棄 については 一体 いつ 誰が どのような 経路 で どのような 範囲 まで 指示 を 出された のか お答えください
昨年 二月 下 旬 から 四月 にかけて 決裁文書 の 書換え を行って いた こと に合わせて そういうこと を行って おりました , 冒頭 申し上げたとおり 調査 で 何でも 先 送り します
 速やかに というところで 終 わ ろう という わけ にも いかぬ のでしょうか ら , ありがとうございました
終わります , おはようございます
 御指摘いただきましたように 世界の 視 覚 障害者 の方々 にとって 利用 可能な 著 作物 が 引き続き 不足 している ことは承知をしております , 是非 答弁 だけではなく 実態 として よろしくお願いしたいと思います
 EU 加盟 国 につきましては EU と EU 加盟 国の いずれ に 本 条約 を 締結 する 権限 があるのか についての 欧州 司法 裁判所 の 判断を 待って いた と承知をしております が 昨年 二月 欧州 司法 裁判所 が この 条約 については EU に 専 属 的な 権限 があると 判断 をいたしました , アメリカの 状態 について 詳しく 御説明を いただき EU の 状態 についても 御答弁 いただいて ありがとうございます
 アメリカ が これに 加 わ る かどうか 英語 の 出版 物 に関しては やはり アメリカの 影響 というのは非常に 大きい と思いますので ここは しっかりと そうした 形で 働きかけ を していきたいと思います , よろしくお願いします
お答え申し上げます , ありがとうございます
 四月 十六日 の 夜 に 小 西 参議院 議員 に対して 現 職 自衛官 が 路 上で 不適切な 発言 を行った 件につきましては 小 西 議員 に対して 大変 不 快 な 思い をさせて しまって おり 改めて おわびを申し上げ ます , 私は 随分 言葉 を 選 んで 御質問 をさせていただいた つもり ですが まあ 同じ 答弁 しか されない ことは 非常に 残念 に 思います し 早く その 調査の結果 を 待ち たいと思います が 実際 は 警察 も 入って 恐らく 調書 等 も 取 られている と思いますので そのこと も含めて 非常に 神 経 質 な 問題 だと思います けど その 中身 だけではなくて 今 この 現状 の シ ビ リ アン コントロール に 国民の 不 信 感 が 高 まった り 自衛官 の それぞれの 思い に対して 今の答弁 では 私は 防衛大臣 の 何 というか な 指導 力 というか 非常に 残念 に 思います
委員御指摘の いわゆる 日報 でございますが 現在 昨年 八月 改正 した 防衛省 文書 管理 細 則 におきまして 行動 命令 に基づき 海外 に 派遣 された 部隊 が 作成 しました 日報 につきましては 一 元 的に 管理 に 責任 を有する 者は 統合 幕 僚 監 部 参事官 というふうに いたしまして 現在 その 集約 作業 を行って ございます , あの ね 何回も 答弁 同じ している 答弁を 国会で 何回も 同じように しない で ください
 いずれにせよ 防衛省 に 存在 しています 日報 につきましては 四月 二十日 までに 統幕 参事官 に 報告 し 届け る ように と言って ございます , つまり この 答弁 も 要は これまでの 日報 についての 防衛省 の 答弁を 見ている と 全く 信用 できない ということ なんですよ
 具体的な こと まで 踏み込んで 質問 させていただく つもり でした が 時間が来ましたので この 続き は 次回 や らせていただきます , おはようございます
 我が国として ア サ ド 政権 は 化 学 兵 器 を 使用 する 能力 を有している と 認識 をしておりまして 米国 等の 措置 は 化 学 兵 器 使用 の 可能性 を 低下 させる ための 措置 であった というふうに認識をしております , 今の 大臣の 表現 非常に 微 妙 な 表現 なんですけど 化 学 兵 器 の使用 の 能力 を有する 可能性 を 低減 させる という 御理解 だということ は その 今回の ダ マ ス カ ス 近 郊 で の 化 学 兵 器 使用 の 疑惑 についての 攻撃 という認識 ではない ということですね
 ア サ ド 政権 が 化 学 兵 器 を これまで 使用 してきた そして 使用 する 能力 を有している それに対して アメリカ イギリス フランス の 措置 は 化 学 兵 器 使用 の 可能性 を 低下 させる ための 措置 であった と認識をしております , それ 結構 重要な んじゃないですか
 アメリカ イギリス フランス の 化 学 兵 器 を 使用 を 断 じ て 容認 しない という 決意 を 支持 したわけでございます , いや 少し 驚 き なんですね
 シリア 情勢 について アメリカ あるいは イギリス フランス と 様々な やり取り をしております が 具体的に その やり取り の 詳細 について 公 の場で 申し上げる のは 控え たいと思います , さらに 前回の 質疑 の中で 外務大臣 は O P C W の調査 が行われ 事実 解明 に向けて そうした 調査 等 が行われて おりますので 早 急 な 真 相 究明 を 期待 したい という御答弁 を いただいています
 O P C W の調査 団 が シリア 入り した というところ は 確認 が できている と思いますが 実際の 現場 に 入れる かどうか これは 今 様々な やり取り が まだ 行われている 段階 ではないか というふうに思います , ということは 日本政府 の 認識 より もう 報道 の方が 早い ということですね
これまで シリア の中 における 化 学 兵 器 の使用 の 確認を したのは O P C W と 国連 の 共同 調査 メカニズム J I M でございますが 残念ながら J I M の マン デ ート の 延長 を 日本は 安保理 で 提案 をいたしました が 安保理 で 否 決 をされております , ということは 予防 措置 のために 武力攻撃 をした ということになります
 日米 首脳会談 につきましては 安倍総理 は 本日 から 二十日 まで 米 アメリカの フ ロ リ ダ 州 の マー ラ ・ ラ ゴ を 訪問 いたします , いや 済みません ゴルフ の 予定 はありますか 確認 させてください
 夕 食 会 や ゴルフ を含めて く つ ろ い だ 雰囲気 の中で 話 し 合う ということを 予定 しておるところでございます , ということは 予定 がある ということですね
 ゴルフ をやっている 時間 安倍総理 トランプ大統領 極めて 親 密 に 長い 時間 共有 する わけです し その さ な か で 様々な ことも 話合い ができる これは 今まで アメリカ でも 日本 でも そういうことを やって おりました ので そういうこと も こういう 状況 ですから よろしい かと思います , シリア 情勢 は 緊 迫 して 国連 も 緊 迫 しております
 日報 につきましては 基本的に 派遣 された 部隊 が 上 級 部隊 に対して 報告 するもの でございますが 当然 その 中の 日報 その ものではない かもしれませんけれども その 中の 非常に重要な 要素 つまり 防衛 庁 当時 は 防衛 庁 長官 でございますけれども そうした 政治 指導 者 も含めて 上 層 部 に必要な 情報 については きちっと 御報告 申し上げた ということでございます , 必要な 情報 等 と 言われます が その 必要な 情報 等が 何 なのか 日報 の中身 のうち の 何を 伝え た上で これを 延長 した のか これ 当然 基本計画 の中には 何らかの 戦闘行為 が行われた 場合には 撤 退 も含めて 議論 すると あるわけですから そこに ちゃんと 議論 に 俎 上に この 日報 の 存在 と 内容 の 存在 が 上がっている のかどうか というのが シ ビ リ アン コントロール 上 も 隊員 の 安全確保 上 も それから 法 的に ちゃんと 活動 している か についても 非常に 私は 重要な 要素 だ というふうに思っている んですけど 今 非常に 鈴木 さんは 微 妙 な 表現 をされました
 福 山 君 終わり ですか , もう 終わります
時間が 来た ので 終わります , おはようございます
 シリア の 首都 ダ マ ス カ ス の 近 郊 東 グ ー タ 地区 におきまして 化 学 兵 器 が 使用 された 空 爆 が行われ 多数 の 市民 が 死亡 しているという 各種 情報 に 接 して 深く 憂 慮 しております , 済みません 私 の質疑 に 今 の問題は 御答弁 それで 結構です が アメリカの 攻撃 の 蓋 然 性 を どの程度 見て おられる のか また 国連 で の ロシア の 拒否 権 の 発動 それから 英 仏 の動向 について 大臣は どのように 今 状況を 御 覧 いただいている のか 教えて いただければと思います
 アメリカの 状況 につきましては 現時点で 特に 何か ということ はございません , 地 政 学 的に 我が国 に 直接 安全保障 上 影響 があると は 思 え ません が トランプ大統領 は 同盟 国と も 緊 密 に 連絡 を取って いると 基本的に これは ヨーロッパ の 国々 の ことだと思います が
 アメリカの 軍事 行動 について アメリカ が どのように 決定 をし ようとしている かというのは 英 仏 と 様々 やり取り をしている という 情報 には 接 しておりますが 具体的に アメリカの 軍事 行動 云々 について 今 ここで 申し上げ られる ようなもの はございません , 国連 の 安保理 の 否 決 に関して 拒否 権 を ロシア が 発動 したこと について あ の中身 その他 について 日本 政府としては あの 国連 の 安保理 の内容 については 日本 としては あれ については 賛 意 の内容 だというふうに 判断 して よろしい んでしょうか
 我が国として 安保理決議 の 内容について 対 外 的に 発信 を しているところ ではございません が この 化 学 兵 器 の使用 といった 重要な 問題について 国際社会 の 足 並 み が そ ろ わない ということ これを 深く 懸念 をしているところでございます , もう その 程度 で しようがない と思いますので 次 へ 行き ます
 特に 日韓 の間で 温 度 差 があると は 認識を しておりません , あえて 報道 が そう 書いた ということに しておきます 外務大臣 お 忙しい でしょう から どうぞ
 外務大臣 は 御 退 室 いただいて 結構です , 防衛大臣 にお伺いします
お答え申し上げます , いや 大臣から 指導 を受ける 前 です その 三月 三 十一日 は
私 まあ 結果 の 過程 を 聞く と 鈴木 総括 審議官 からは 統括 官 からは 官房長 とそれから 次官 に 言って それで 私 という その 順番 で 来た ものですから 恐らく 官房長 に 報告 して 以降 は 速やかに 私 の方に 上がって きた のではないかと思います , これも 何で 急 に ば た ば た と 時間 を取って きちっと 説明 する はず の ものが こういう 状況 になった のか について 余り 明確な 回答 はありません
お答え申し上げます , これも なかなか 納得 し 難 い もの なんですけれども
委員 今 御指摘の ございました いわゆる 統幕 の 参事官 に 日報 を 一元化 するという 作業 でございますが これは 端 を 発 してございます のは 七月 の 二十八日 いわゆる 再発防止策 の一 環 の中で 行われて ございます , ということは 結果として は そこは 徹底 がなかった ということですね
 これで終わります けど いつ 幾 日 どういう 内容 の ものを 廃棄 した という 記録 を 残 す と これは 廃棄 したこと にはならない んですよね , 福 山 でございます
昨日 私 の方に この 報告 が 来た のは 午前中 だったと思います , ということは 四 時の 時点で は 午前中 報告 を受けた けど この ことについては まだ 認識 が 自身 の中で 確定 していなかった ので 夕 方に もう一度 やった ということですね
 午前中 に あった 内容について 細 部 を含めて 確認を する 必要 があった ので 午前中 に 細 部 を含めて しっかり 確認 するように という 指示 をして その後 中央 即 応 集団 の 開設 式 がありました から そちら の方 に向かって その 行 事 を 終 わ らせて 戻 った 後 再度 確認を した後 公表 させていただいた ということであります , メディア に 報 じ られる 可能性 があった ので 慌 て て 会見 をした ということ はございません か
これは 三月 三 十一日 に まず 今回 日報 の 一元化 を する中で イラク の 日報 があった ということが 分かった と 私 のところに 確認 がありました , ただ 今 調査 をされている 最中 です
 後 刻 理事会 に て 協議 いたします , 二点 目 でございます
 同じ 認識 であります , 事務方 部分 的に 調べ る ところが 間 違った としても 当時 大臣に 事実 とは 異なる 答弁を させた という認識 は 既に あります ね
 当時 先ほど 出ました イラク の 日報 と同様に 必ずしも その 日報 についての 前提 ですね 事実 確認 が 十分 で なかった という中で 稲田大臣 が あの ような 答弁を された ものだ というふうに承知しております , あの ような とか 抽象的 な ことを 言わない で ください
昨年 二月 の 際 の 大臣の 稲田大臣 の答弁 につきましては 国際 活動 教育 隊 におきまして 日報 は 存在 して 確認 できなかった と おっしゃって おりますので 今回 それが 確認 されました ので その 意味 においては 昨年 には 確認 できなかった ものが 出てきた ということで 昨日 併せて 公表 されました , それで 実は 小野寺 大臣が 四月 の 二日 に 記者会見で 発表 されています
私 のところに 事務方 から 上がって きた 想定 は 今 福 山 委員がおっしゃった ような 想定 の答弁 の在り方 でありました , 事務方 にお伺いします
 一切 今回の イラク の 日報 について 昨年の 三月 二十七日 に 確認を された という 事象 については 全く 言及 はございません でした , だって 三 か 月 も 掛かって いろいろ 調べて いた んでしょう
私ども 事務方 といたしましては 昨年の 二月 の答弁 それから それ の 後の 二月 二十二日 に 再度 稲田大臣 の 指示 を受けた 研究 本部 で の 探 索 結果 これが 三月 十日 でございます , よく分からない な
 当時 そうした 仕事 業務 をしていた 者は 私ども 統幕 参事官 付き また 私 総括 官 でございますけれども その 当時 におきましては 先ほど 繰り返しになりますけれど も 三月 十日 に 実際に 三月 十日 をもって しても 研究 本部 におきまして この イラク の 日報 は 確認 されなかった ということ をもって 対応 して ございました ので そうした ものを 一切 報告 受けて おりません , だって 国会で 議論 があって ちゃんと 予算委員会 の 理事会で 要求 があって 議事録 を 見れば 教育 本部 にある はず じゃないか という 議論が ずっと あった わけでしょう
 特別 防衛 監察 につきましては 監察 本部 において 行われております が 私 承知 する 限り で 申し上げれば その 監察 結果 等 におきましても 当時 問題 と されました のは 南スーダン の PKO の その 日報 でございますので ス ー ダ ン につきましては そもそも その 監察 の対象 になっていない ものと承知しております , いや いや 各種 の 派遣 業務 に対して の 日報 をどう する んだという 全体 の話 も 特別 監察 では や られている はず ですよ
私も 今回の この イラク の 日報 の 一連の 経緯 を見て ずっと ない 出てこない ということが 続 いた 中で 四月 の 二日 に これ おかしい んじゃないか と思って 探 す ように 指示 を 出 したら 四月 四日 に 二日 間で 出てきた わけですよ 三月 二十七日 昨年 こういう の がありました と , 本当に 非常に 残念 に 思います
 時間が来ましたので 終わらせていただきます , おはようございます
 中国 側から 既に しっかり 説明 を受けて おりますが その 詳細 については 申し上げられません , どの レベルで どのような 形で じゃ 連絡 を受けた か お伝え ください
 申し訳ございません が 差し控え させていただきます , なぜ 差し控え なければいけない のか お答えください
 内容を 公表 すること について 両国 間で 公表 する という前提で やって おりません , 私は 今 内容を 公表 してくれ とは 一言 も 申し上げて おりません
 いつ どの レベル を含め 詳細 を 申し上げることは できません , 私は 批判 のための 批判 をする つもり はありません
今回の ような アメリカの 貿易 制限 措置 は WTO ルール に基づく 多 角 的 貿易 体制 にも 悪 影響 を 及 ぼ し また 恐らく 鉄 鋼 などの 世界 市場 に 混乱 を及ぼす ことになる んだろうと思います , アメリカ 側が て こ に 利用 しようと している のではないかという 理由 ら し き というか 根拠 ら し き ものを 外務大臣 が 言って いただいた ので もう これ以上 申し上げ ません が ということは 逆に 言うと 日米 関係 は トランプ大統領 と の 日米 関係 は 安倍総理 が 言われている ように 個人的な 関係 それから 日米 は 一〇〇 % 共 にある と 総理が 言われて も その 関係 とは 別の 次 元 で 物 事 が 動 く ということを 認識 して 外交 を やら なければいけない ということで そういう 認識 で やらなきゃいけない ということですよね
 北朝鮮 危機 について 日米 一〇〇 % 共 にある というのは これはもう 双方 の 首脳 が 繰り返し 申し上げて きている ところでございます , 国家 同士 で 国益 が それぞれ 異なる のは 僕は 当然のこと だと思います
 外交 上の 情報が どこで どのように 行われている かというのは 一 々 これを 申し上げる わけ には い き ません ので お答えは差し控え させていただきたいと思います , これ 逆に 言うと 国際社会 から 見れば 北朝鮮 情勢 北 東 アジア の 安全保障環境 の問題 については 日本は プ レー ヤ ー として 今 動いて いない と 見え ている んじゃないですか
 先週 でしたか J C P O A の 交渉 を やった ウ ェ ン ディ ー ・ シャ ー マン と お 目に かかり ました が J C P O A の 交渉 も い まだ 歴史 になっていない から 中身 は 外 には 申し上げ られない というような話 を されておりました , いや 私は 外務大臣 の おっしゃる ことは そのとおりだと思います よ
 刑事 訴 追 の おそれ のある 話 でございますので その 旨 答弁 させていただいております , 福 山 です
大変 恐縮 でございます , 文書 の 改ざん について あなた は 関わって いる か いない か
もう 今 の御質問 も まさに 今の 捜査 が行われている 中 の話 でございまして 誰が どういうふうに 関与 した の かというのは 私 も含めまして 今 捜査 の対象 になっている ということでございます , だから あなた 関わって いない んだったら 関わって いない と 言えば いい じゃないですか
 その点 も含めまして まさに 誰が どういう 経緯 で ということが まさに 捜査 の対象 になっている ということでございます , もう一つ 分からない んですね
 冒頭 申し上げましたが この 案件 は まさに 国有財産 の 売却 という 個別 案件 でございまして そういうもの は 理財局 の中で 対応する ものでございまして この 昨年 の中で 私が 理財局長 を しておりました 間 そういう 官邸 なり 大臣 とか そういうところ からの 指示 がなかった ので 指示 は ありませんでした というふうに お答え 申し上げて おるところでございます , だって 関与 していた かどうか 分からない あなた が ですね 指示 を もらった かどうか なんて あなた だって そんなこと 関係 ない じゃないですか
速記を起こして ください , 今 御 覧 をいただいた 三月 の 二日 の 議事録 で 佐川 さんは 明確に 決裁文書 があること を 認めて おられます
